STATION CODE,Mintemp,Maxtemp,Meantemp,MinDO,MaxDO,MeanDO
1241,19.0,29.0,23.91,6.8,7.7,7.38
44,21.0,32.0,25.75,5.3,11.2,7.86
1240,15.0,26.0,22.0,6.7,8.2,7.48
1234,21.0,32.0,26.71,5.6,10.5,7.64
2123,21.0,32.0,25.88,5.9,10.7,7.45
1235,21.0,27.0,24.0,5.8,13.0,8.02
2106,19.0,28.0,23.58,2.2,7.9,7.04
45,22.5,22.5,22.5,8.2,8.2,8.2
1239,22.5,28.0,25.25,8.1,8.4,8.25
1430,22.5,23.0,22.75,7.8,8.1,7.95
1431,22.5,27.0,25.17,7.6,8.2,7.8
2099,19.0,25.0,22.73,6.8,7.9,7.33
2112,22.0,27.2,24.4,7.8,8.2,7.97
2113,23.0,28.0,25.5,7.6,8.0,7.8
3322,19.0,29.0,24.63,6.8,7.6,7.33
3323,23.0,28.0,25.0,6.8,7.8,7.48
3324,20.0,28.0,24.29,6.8,7.6,7.14
3325,20.0,28.0,24.0,6.6,7.8,7.21
7,22.0,32.0,26.67,5.5,10.23,7.47
1243,28.0,30.0,29.67,6.6,9.0,7.7
1244,24.0,32.0,27.17,2.76,9.01,7.03
1245,23.0,26.0,24.67,7.24,8.0,7.55
1981,30.0,30.0,30.0,8.03,8.03,8.03
1236,23.5,28.0,26.17,5.5,7.9,6.97
2100,18.0,26.0,22.83,6.6,7.9,7.43
2101,20.0,25.0,22.73,6.8,7.8,7.46
2114,23.0,23.0,23.0,6.4,6.4,6.4
3305,21.0,24.0,22.63,6.8,7.8,7.26
